caption,Nama Tempat,Alamat,Jam Operasional,Kota,Akun Instagram,Jam Buka,Jam Tutup,Is 24H,Is Overnight,Kategori Tempat,Kategori Multilabel List,Kategori Multilabel
"Belakangan konsep kedai kopitiam cukup menjamur di Jogja, selain karena menu-menu yang simpel dan cukup terjangkau juga karena nilai nostalgia dan budaya lokal turut merasuki tiap kedai kopitiam yang ada.

Belum lama ini kami menemukan salah satu yang cukup percaya diri menyebut bahwa kedai mereka adalah salah satu kopitiam yang paling otentik di Jogja dan membuat kami penasaran ingin mencoba.

Tempatnya sederhana dengan tempat duduk yang cukup banyak, setelah mencoba beberapa menu andalannya benar saja, claim mereka tentang otentik cukup terbuktikan. Kebetulan kami sudah beberapa kalai ke Pontianak dan nyobain langsung di daerah asalnya. Namun demikian tiap kedai memiliki style menunya masing-masing ya!

Nama tempatnya Warung Kopi Ahau @warkopahau, ini tu mereka udah buka sejak 2021 sebelum konsep kedai kopitiam menjamur di Jogja.  Menu-menunya beneran comfort semua! Kopinya pas, teh tariknya berasa makanannya juga bikin nagih. Cek detail menunya di slide 2 ya! 👏

Warkop Ahau @warkopahau
09:00 ——— 24:00
Jl. Perumnas, Nologaten, Sleman, Yogyakarta",Warkop Ahau,"Jl. Perumnas, Nologaten, Sleman, Yogyakarta",09:00 - 24:00,Sleman,@warkopahau,09:00,23:59,False,False,Menu Variatif,"['Menu Variatif', 'Ngopi Santai']","Menu Variatif, Ngopi Santai"
"Coffee shop 24 jam area Maguwoharjo yang punya private room, silent room dan indoor outdoor luas.

Lestari corner coffee ini cukup jadi andalan kalau lagi cari coffee shop 24 jam. Selain tempatnya yang luas, fasilitasnya lengkap dan menu-menu di @lestaricorner.coffee juga beragam. Hal seru lain kalian bisa netflix & chill di area private room (slide 1).

Kemarin kami nyobain nasi goreng yang porsinya cukup besar, smokey dan umami cuma 21K aja, kalau lagi ngga laper-laper banget ini bisa sih buat sharing.

Oh iya satu lagi, mereka ada banyak promo, catet ya: 
• Promo ngopi pagi 15K
• Double break promo disc. 10% all menu jam 07:00-13:00*
• Insom promo promo disc. 20% all menu jam 02:00-07:00*

Super lengkap kan? Dah langsung datengin aja ya!

Lestari Corner Coffee @lestaricorner.coffee
24 JAM
Krodan, Maguwoharjo, Sleman, Yogyakarta",Lestari Corner Coffee,"Krodan, Maguwoharjo, Sleman, Yogyakarta",24 Jam,Sleman,@lestaricorner.coffee,00:00,23:59,True,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Nemuin coffee shop deket UII yang masih ada promo ngopi pagi 10ribu!

Awalnya kirain coffee shop ini kayak coffee shop Joglo pada umumnya, setelah masuk ternyata @kopipandanarang ini punya area taman belakang yang syahdu banget even saat siang pun cukup asik ngopi disini karena terik matahari berhasil dihalau oleh pohon beringin besar yang ada di taman belakang ini, angin sepoi-sepoi juga tak jarang menghampiri.

Selain tempatnya yang makin sore makin syahdu menu-menu di tempat ini cukup lengkap, mulai dari menu minuman, snack hingga main course semua ada! Berbeda dari tempat lain, @kopipandanarang nampaknya sengaja menghadirkan nuansa citarasa lokal yang berhasil dieksekusi dengan cukup baik

Kemarin kami mencoba beberapa menu signaturenya yang memang sangat worth the price, malah bisa dibilang affordable. Nice! Cek detail menunya di foto ya!

Kopi Pandan Arang @kopipandanarang
07:30 ——— 00:00
Candi Dukuh, Ngaglik, Sleman, Yogyakarta (selatan UII)",Kopi Pandan Arang,"Candi Dukuh, Ngaglik, Sleman, Yogyakarta (selatan UII)",07:30 - 00:00,Sleman,@kopipandanarang,07:30,00:00,False,True,Ngopi Santai,"['Menu Variatif', 'Ngopi Santai']","Menu Variatif, Ngopi Santai"
"Belakangan ini kami lagi suka cari tempat ngopi dengan suasana alam hijau yang tenang dan nyaman buat sejenak melepas penat.

Beberapa waktu lalu kami menuju daerah Turi Sleman buat dapetin ekspektasi yang kita mau, memang lokasinya cukup jauh dari kota, tapi justru karena jauh tempat ini ngasih suasana yang nggak ada di kota tentunya.

Nama tempatnya Djocoja Coffee yang lokasinya ada di Ukier Plawang. Pertama masuk kalian bakal disambut dengan bangunan Joglo jawa lengkap dengan ornamen pendukungnya, bahkan ada set wayang lengkap terpajang di salah satu sudutnya.

Nah area primadonanya terletak persis di bagian belakang area Joglo, suasana alam yang masih sangat terjaga, pohon-pohon hijau menjulang dan dialiri sungai kecil di tengahnya. Sungguh tempat yang menyenangkan untuk menikmati hari.

Kalian bisa sekedar ngopi saja di @djocoja ataupun sekalian makan siang karena ada prasmanan dengan menu rumahan tradisional yang cukup lengkap.

Ukier Plawang X Djocoja @ukier_plawang @djocoja 
09:00 - 18:00 | Minggu 08:00 - 17:00
Turi, Sleman, Yogyakarta",Ukier Plawang X Djocoja,"Turi, Sleman, Yogyakarta",09:00 - 18:00,Sleman,"@djocoja, @ukier_plawang",09:00,18:00,False,False,Area Lengkap,"['Menu Variatif', 'Ngopi Santai', 'Area Lengkap']","Menu Variatif, Ngopi Santai, Area Lengkap"
"Coffee shop luas 2 lantai ada rooftop asik di deket UMY

Overview ———
Coffee shop yang belum lama buka ini kayaknya bakal jadi tongkrongan favorit baru buat temen-temen yang ada di deket UMY. Kemarin pas dateng beberapa hari setelah buka aja udah hampir penuh. Nama tempatnya @talakopi yang lokasinya ada di daerah Brajan, Tamantirto, Kasihan, Bantul. 

Tempatnya luas, banyak pilihan tempat duduk, 2 lantai, fasilitas lengkap dan yang seru ada rooftopnya di lantai 2 dengan angin sepoi-sepoi dan pohon kelapa yang mempercantik suasana.

Menu ——
Pilihan menunya ada cukup banyak buat sekedar temen nugas atau makan bareng temen/keluarga. Kemarin kami nyobain beberapa menu rekomendasi dan signature mereka detailnya ada di slide 3.

Kalau lagi ada yang nyari coffee shop deket UMY jangan lupa share postingan ini ya!

Tala Kopi UMY @talakopi
09:00 ——— 01:00
Tamantirto, Kasihan, Bantul, Yogyakarta (deket UMY)",Tala Kopi UMY,"Tamantirto, Kasihan, Bantul, Yogyakarta (deket UMY)",09:00 - 01:00,Bantul,@talakopi,09:00,01:00,False,True,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Nemuin coffee & eatery homey di tengah kota!

Overview———
Ceritanya waktu itu pagi menjelang siang lagi muter-muter di daerah Tirtodipuran, pengen nyari kopi sekalian buka laptop tapi juga pengen sekalian makan siang juga. Setelah cari-cari di maps akhirnya berujung nemuin coffee & eatery homey nugasable ini.

Nama tempatnya @litericaresto yang turns out fasilitasnya lengkap! Ada meeting room/private room, area parkir luas, indoor ac, semi outdoor, ada mushola dan wifi kenceng! Buat yang agak susah cari coffee shop yang ada meeting roomnya di tengah kota tempat ini bisa masuk list kalian ya!

Menu———
Untuk menu-menunya ada banyak banget dan proper buat sekedar temen nugas, kumpul bareng temen atau makan bareng keluarga. Kemarin kami nyobain beberapa menu rekomendasi. Buat detailnya cek slide 3 ya!

Literica Resto & Cafe @litericaresto
08:00 - 21:00 | Fri-Sun 08:00 - 22:00
Tirtodipuran, Yogyakarta",Literica Resto & Cafe,"Tirtodipuran, Yogyakarta",08:00 - 21:00,Yogyakarta,@litericaresto,08:00,21:00,False,False,Area Lengkap,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Cute little coffee shop di selatan Jogja yang masih ada promo ngopi pagi 15rb.

Overview ———
Meskipun mungil tempat ini udah cukup banget buat kalian yang butuh asupan kopi di daerah selatan Jogja atau tepatnya di sekitaran simpang ringroad Jalan Parangtritis. Tenang aja walaupun mungil tempat parkirnya luas kok dan gampang banget kalian temuin.

Menu ———
Buat menunya ada kurang lebih 6 menu signature yang ini tu tipenya mixology atau mocktail gitu. Selain itu ada coffee bassic, flavored latte dan non coffee. Ada juga pastry buat temen minum ya.

Other ———
Promo ngopi pagi 15K selected items 09:00 - 12:00. 

Doozy Caffeine Dealer @doozy
09:00 ——— 24:00
Jl. Parangtritis km 4, Yogyakarta (selatan simpang 4 ringroad)",Doozy Caffeine Dealer,"Jl. Parangtritis km 4, Yogyakarta (selatan simpang 4 ringroad)",09:00 - 24:00,Yogyakarta,@doozy,09:00,23:59,False,False,Menu Variatif,"['Menu Variatif', 'Ngopi Santai']","Menu Variatif, Ngopi Santai"
"Balik lagi ke tempat ini setelah 3 tahun dan masih sangat terawat dari segala aspek. 

Fasilitasnya pun lengkap, mulai dari disediakannya personal care amenities di toilet cewek yang cukup lengkap (facial wash, pembalut, parfum, tissue disinfectant), tempatnya yang luas, AC dingin (pakai tipe ac central masih ditambah standing floor ac), toilet bersih, mushola, hingga ada smoking area ac! Bener-bener manjain customer.

Nama tempatnya @anakpanahbizz.jogja yang besok tanggal 17 Januari 2025 tepat berusia 3 tahun. Nah besok tanggal 17 ada special menu bundle es kopi susu + snack platters yang harganya 35K aja (cek slide 2 ya). Kemarin nyobain dan worthit, porsinya gede buat es kopi susu maupun snack plattersnya. Menu special ini cuma ada di tanggal 17 Januari besok ya! 

Menu regulernya juga lengkap banget, setidaknya ada 70+ menu yang bisa kalian pilih sesuai selera yang terdiri dari menu nusantara & western. Kemarin nyobain Beef Maranggi Nasi Daun Jeruk yang unik banget dan Gyros Platters ala mediterania yang kaya rasa dan balance.

Oh iya ada juga live music tiap Jumat ya!

Jangan lupa agendain buat besok!

Anak Panah Kopi Jogja @anakpanahbizz.jogja 
08:00 ——— 24:00
Jl. HOS Cokroaminoto, Yogyakarta",Anak Panah Kopi Jogja,"Jl. HOS Cokroaminoto, Yogyakarta",08:00 - 24:00,Yogyakarta,@anakpanahbizz.jogja,08:00,23:59,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Siapa sangka nemuin coffee & eatery yang punya menu mocktail proper di Palagan atas.

Overview ———
Ini bener-bener hidden gem yang menunya kalian harus cobain! Nama tempatnya @anargya.koffie yang lokasinya ada di sekitar Jl. Palagan km 13. 
Konsepnya joglo modern yang berada di tengah area sawah dengan angin sepoi-sepoi dan suasananya yang tenang. 

Menu ———
Nah yang spesial disini tu menunya terutama menu mocktailnya, mereka ada beberapa signature mocktail yang sangat layak buat kalian coba. 

Kemarin kami nyobain 2 menu signature mocktailnya ada Rum-Fie (coffee mocktail aromatic yang seger dan balance) lalu satunya lagi Sangkuriang. Nah yang sangkuriang ini tu semacam creamy herbs mocktail yang mirip bandrek dengan racikan yang pas, seger tapi hangat karena ada herbalnya. Menarik banget pokoknya!

Menu makanannya juga ngga kalah proper, kemarin kami nyobain Creamy Mushroom Spaghetti dan Crispy Chicken Steak yang semuanya worth the price!

Other ———
Tempat luas, area parkir luas, seating area banyak, mushola, wifi, indoor, outdoor, semi indoor, toilet, nature, cocok buat event, nugas ataupun nongkrong.

Anargya Koffie @anargya.koffie
14:00 ——— 23:00
Donoharjo, Ngaglik, Sleman, Yogyakarta (area Jl. Palagan km 13)",Anargya Koffie,"Donoharjo, Ngaglik, Sleman, Yogyakarta (area Jl. Palagan km 13)",14:00 - 23:00,Sleman,@anargya.koffie,14:00,23:00,False,False,WFC Nyaman,"['Area Lengkap', 'WFC Nyaman']","Area Lengkap, WFC Nyaman"
"Udah tau belum kalau kalian ngopi pagi di tempat estetik ini dapet sarapan gratis?

Nah waktu itu pas hari Sabtu kebetulan lagi di daerah Kotabaru dan ternyata @jeeva.yogyakarta kalau hari Jumat-Minggu buka jam 07:00 pagi, mampir lah sekalian ngopi pagi eh pas sampai lokasi ditawarin free sarapan, ya siapa yang nolak ya kan 😀

Jadi setiap Jumat-Minggu @jeeva.yogyakarta ini lagi ada promo beli kopi apapun yang ada di menu gratis soto surabaya di jam 07:00 - 11:00. Kalau kalian nggak mau ngopi bisa juga beli soto surabaya, soto betawi atau lodeh dadar rawis 20K aja udah dapet free es teh atau teh hangat. Ada mendoan dan bakwan juga ya buat temen makan.

Selain itu tempatnya estetik nan proper, menu regulernya juga well served. Tempat ini cocok buat kalian yang pengen self-reward ngopi makan enak dengan tempat yang estetik juga service yang oke. Atau ya sekedar nongkrong bareng temen juga asik sih.

Kemarin nyobain beberapa menu regulernya juga dan emang worht the price! Detailnya cek slide 5 ya!

Dah langsung agendain buat besok ya! Mayan kan ngopi pagi gratis sarapan 👌

Jeeva @jeeva.yogyakarta
10:00 - 23:00 | Fri - Sun 07:00 - 23:00
Kotabaru Yogyakarta",Jeeva,Kotabaru Yogyakarta,10:00 - 23:00,Yogyakarta,@jeeva.yogyakarta,10:00,23:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Ngopi malem disini start from 9rb aja! 

Waktu itu sore-sore lagi lewat jalan Doktor Sutomo Baciro dan penasaran banget sama bangunan besar megah yang ternyata coffee shop dan juga car wash. Pertama bingung dimana coffee shopnya, setelah masuk untungnya didatengin staf dari car washnya yang ngasih info kalau coffee shopnya ada di lantai 2. Nice ✨

Uniknya pas pesen di lantai 2 kemarin kopinya dianter pakai mobil remote control! Ini belum pernah kami temuin selama bikin akun ini sih. Seru! 😅
Ruangannya cukup compact dengan beberapa set meja kursi dan juga sofa nyaman.

Nah uniknya lagi ternyata mulai jam 18:00 tempat ini berubah konsep jadi street coffee / cofffee truck di halaman depannya yang luas. Selain berubah konsep ini tu semacam after hours gitu yang harganya start from 9rb aja. Worthit banget kan? Suasananya juga seru!

Hofcup @hofcup
08:00 - 24:00 (after hours 18:00 - 24:00)
Jl. Doktor Sutomo No.14, Baciro, Gondokusuman, Yogyakarta",Hofcup,"Jl. Doktor Sutomo No.14, Baciro, Gondokusuman, Yogyakarta",08:00 - 24:00,Yogyakarta,@hofcup,08:00,23:59,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Kalau kalian lagi suka explore rasa kopi kayaknya tempat satu ini bisa kalian coba deh. Meskipun mungkin banyak yang taunya kalau tempat ini jualan donat siapa sangka mereka begitu concern buat kopinya.

Nggak tanggung-tanggung @dopiodonat ini punya 3 pilihan beans buat espresso basednya. Beansnya ada arabica aromatic, arabica bassic dan house blend. Jadi bisa kalian pilih sesuai selera, nice 👏

Kemarin nyobain ketiganya dan paling suka yang aromatic! Ini tu ngasih sensasi rasa yang beda gitu.
Selebihnya ada banyak pilihan donat lucu dan enak yang bisa kalian pilih sesuai selera. Selain itu juga ada snack siomay mentai dan chili oil!

Tempatnya juga nyaman buat nugas. Dah langsung datengin aja ya!

Dopio Donut Jakal @dopiodonat
10:00 ——— 22:00
Jl. Kaliurang KM 6, Kentungan, Sleman, Yogyakarta",Dopio Donut Jakal,"Jl. Kaliurang KM 6, Kentungan, Sleman, Yogyakarta",10:00 - 22:00,Sleman,@dopiodonat,10:00,22:00,False,False,Menu Variatif,"['Menu Variatif', 'Ngopi Santai']","Menu Variatif, Ngopi Santai"
"Wah Jogja lagi macet-macetnya ya musim liburan gini, kemarin lewat Gejayan macet panjang banget yaudah deh akhirnya mutusin melipir bentar di @qamaricoffee_

Ini tu lokasinya sekitar 400 meter sebelum perempatan ringroad Gejayan yang sering banget macet itu. Lokasinya emang agak masuk dari jalan tapi justru ngasih suasana yang nenangin. Hectic macet-macetan di jalan seketika hening pas sampe sini.

Konsepnya medieval dengan tembok batu yang cukup unik dan estetik, beda dari cafe-cafe lainnya. Ada indoor ac yang luas, semi indoor dan outdoor dengan pohon-pohonnya yang cukup rindang.

Dah langsung datengin aja ya!

Qamari Coffee @qamaricoffee_
10:00 ——— 24:00
Jl. Affandi, Condongcatur, Sleman, Yogyakarta",Qamari Coffee,"Jl. Affandi, Condongcatur, Sleman, Yogyakarta",10:00 - 24:00,Sleman,@qamaricoffee_,10:00,23:59,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Coffee shop 24 jam ini punya es kopi susu tower yang cocok buat rame-rame 😍

Ada aja gebrakan @toleransikopi.id. Belum lama ini mereka buka lagi cabang terbarunya di Palagan. Tempatnya barunya ini punya area yang luas dengan banyak pilihan tempat duduk.

Agak berbeda dengan cabangnya yang lain, tempat ini lebih berkonsep elegan rustic dengan tetap memberikan sentuhan industrial yang sudah melekat.

Menariknya di tempat barunya ini ada mezzanine dan pohon-pohon besar yang cukup rindang. Asik banget nongkrong di atas sambil menikmati angin sepoi-sepoi. Oh iya toiletnya ada ACnya guys pantes dingin kemarin pas ke toiletnya 😂

Nah yang spesialnya lagi disini ada es kopi susu tower! Udah nggak usah bingung lagi kalau lagi kumpul bareng temen-temen tinggal pesen ini. Es kopi susu tower ini disajikan dengan es terpisah ya jadi ngga usah takut watery. Kemarin nyobain dan emang worthit sih. Nice!

Dah langsung datengin aja ya!

Toleransi Kopi Palagan @toleransikopi.palagan @toleransikopi.id
24 JAM
Jl. Watugede, Sariharjo, Ngaglik, Sleman, YK",Toleransi Kopi Palagan,"Jl. Watugede, Sariharjo, Ngaglik, Sleman, YK",24 Jam,Sleman,"@toleransikopi.id, @toleransikopi.id., @toleransikopi.palagan",00:00,23:59,True,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Salah satu yang paling sering ditanyain temen apalagi dari luar kota kalau pas liburan gini pasti “rekomendasi makan enak di Jogja dong!”

Nah kemarin kami baru aja nyobain salah satu tempat makan di Jogja yang menunya, cara masaknya dan vibesnya tradisional banget. 

Nama tempatnya @kandangingkung yang cocok banget buat ngajakin temen, keluarga ataupun orang terdekat kalian pas liburan akhir tahun.

Selain menu ayam ingkungnya yang khas banget di sini tu kalian bisa bikin kopi sendiri sesuka hati dan bayar seikhlasnya 😍 ada live music tiap sabtu minggu dan ada area playgroundnya juga.

Seru banget sih ini, vibesnya Jogja banget, menu-menunya comfort tradisional dan ada beberapa experience menarik lainnya seperti bikin kopi sendiri, ngeliat live cooking dengan cara tradisional. Nice 🙌🏻

Kandang Ingkung Resto & Kopi @kandangingkung
10:30 ——— 20:30
Jitengan, Balecatur, Gamping, 
Sleman, Yogyakarta",Kandang Ingkung Resto & Kopi,"Jitengan, Balecatur, Gamping,",10:30 - 20:30,Lainnya,@kandangingkung,10:30,20:30,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Referensi coffee shop buat liburan akhir tahun bareng temen atau keluarga nggak jauh dari Tugu nih 😍

Belum lama ini kami nyobain coffee shop yang juga serve sushi dan Japanese food lainnya di daerah Tegalrejo atau cuma sekitar 1,5 KM sebelah barat tugu Jogja. Nama tempatnya @sakacoffee.yk

Turns out, @sakacoffee.yk ini coffee shop pertama yang gabungin antara coffee & sushi di Jogja, jadi selain ngopi juga ada banyak banget pilihan menu sushi dan makanan Jepang lainnya! Intinya tempat ini cocok buat nggak sekedar ngopi aja tapi juga makan bareng temen-temen ataupun keluarga. Eh buat kalian yang mau nugas juga bisa banget ya!

Selain itu Saka Coffee ini punya tempat yang proper, nyaman, bersih dan lengkap. Konsepnya Japanese coffee shop sejalan sama nama dan apa yang mereka serve. Areanya ada indoor AC, semi outdoor dan full outdoor di bagian belakang dengan pohon-pohon dan tanaman ijo yang nyegerin, serius seneng banget nemuin tempat kayak gini di tengah kota 😍

Dah langsung datengin ajakin temen atau keluarga ya! 

Saka Coffee Yogyakarta @sakacoffee.yk
Mon-Fri 09:00 - 22:00 | Sat-Sun 07:00 - 22:00
Jl. Bener no. 4, Tegalrejo, Yogyakarta",Saka Coffee Yogyakarta,"Jl. Bener no. 4, Tegalrejo, Yogyakarta",09:00 - 22:00,Yogyakarta,@sakacoffee.yk,09:00,22:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Dulu pas pertama kesini dibikin amaze banget ternyata masih ada hutan yang cukup lebat nggak jauh dari kota, tepatnya ada di daerah Pringwulung dan yang bikin menarik lagi ada coffee shopnya! Ya walaupun sebagian hutannya saat ini udah jadi calon kapling perumahan tapi tetep aja vibes di tempat ini sulit ditemukan di tempat lain. 

Nama coffee shop yang vibesnya alam tenang ini adalah @mams.well. Ini literally hidden gem buat kalian yang pengen ngopi santai dengan suasana alam yang sangat tenang. 

Fasilitasnya juga lengkap, ada meeting room, indoor ac, semi indoor dengan view dan suara sungai yang nenangin. Oh iya satu lagi mereka juga punya bilik produktif ya, ini tu kayak private space bersekat gitu.

Buat menunya lengkap, selain kopi dan minuman kopi lainnya juga ada snack dan main course yang proper dan menggugah selera. Cek detailnya di slide 3 ya!

MamsWell @mams.well
09:00 ——— 23:00
Pringwulung, Condongcatur, Depok, Sleman, YK",MamsWell,"Pringwulung, Condongcatur, Depok, Sleman, YK",09:00 - 23:00,Sleman,"@mams.well, @mams.well.",09:00,23:00,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"NEW COFFEE SHOP IN TOWN!

Setelah dibikin penasaran cukup lama tiap lewat Pandega Karya Jakal akhirnya minggu kemarin udah ngga penasaran lagi. Selamat dulu buat @ud.djaya yang baru aja buka cabangnya di Jogja 🎊🎈

Cabang terbarunya yang ada di Jakal ini buka jam 7 pagi, tempatnya luas dan ada beberapa area yang bisa kalian pilih sesuai kebutuhan. Walaupun luas tempatnya ngga bikin bosen karena emang tiap area punya sisi menariknya masing-masing. Konsepnya sangat matang, proper dan dieksekusi dengan apik pada setiap detailnya. 

Nah yang cukup beda dari tempat lain mereka punya Silent Room buat kalian yang pengen bener-bener fokus nugas ataupun kerja karena di silent room ini ngga ada musik, cukup kedap dan yang di dalemnya pun ga boleh bersuara keras biar pada fokus. Nice 👏🏻

Buat pilihan menunya cukup banyak, selain coffee non coffee & refreshment ada juga maincourse dan light bites yang cukup buat nemenin kalian nongkrong. Cek detailnya di slide 3! 

Dah langsung datengin aja ya! ✨

UD. Djaya @ud.djaya
07:00 ——— 24:00
Jl. Pandega Karya No.2, Manggung, Caturtunggal, Depok, Sleman, Yogyakarta",UD. Djaya,"Jl. Pandega Karya No.2, Manggung, Caturtunggal, Depok, Sleman, Yogyakarta",07:00 - 24:00,Sleman,@ud.djaya,07:00,23:59,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Coffee shop baru di Demangan yang buka jam 7 pagi ini nampaknya cocok buat kalian yang ngga begitu suka es kopi susu atau minuman lain yang terlalu manis.

Volare Coffee ini cukup berbeda dari coffee shop lain pada umumnya, mereka pakai buah asli buat base menu-menunya dan rasa manisnya langsung dari buah dan menghasilkan rasa yang cenderung sweetless, ini bisa jadi pilihan buat kalian yang pengen ngopi versi lebih sehat.

Untuk tempatnya berkonsep clean dengan ambiance warmth yang cukup nyaman dan compact, ada area indoor dengan sofa dan beberapa set meja ergonomis yang cocok buat nugas dan semi indoor. Secara umum tempat ini bisa kalian jadiin referensi kalau pengen nyoba sesuatu yang beda.

Gas agendain ngopi pagi weekend besok ya!

Volare Coffee @volare_idn 
07:00 ——— 23:00
Demangan, Sleman, YK",Volare Coffee,"Demangan, Sleman, YK",07:00 - 23:00,Sleman,@volare_idn,07:00,23:00,False,False,WFC Nyaman,['WFC Nyaman'],WFC Nyaman
"Save & share dulu nih kalau kalian lagi pengen cari coffee & eatery estetik, tenang, sejuk, hijau, jauh dari keramaian 🍃✨

Kalau kalian notice sebenernya tempat ini udah cukup lama beredar ditimeline ataupun fyp, cuma karena lokasinya yang bukan di main road jadi mungkin orang udah ngga begitu ngeh kalau ada tempat secakep ini di utara Jogja. Nah disini kami pengen bikin kalian notice lagi karena emang tempatnya se-worth it itu.

Nama tempatnya @narawita.yk, begitu masuk langsung disambut dengan keestetikannya disetiap sudut, suasana yang tenang, pemandangan hijau sawah luas dan pemilihan furniture yang menyatu dengan konsep tempatnya.

Pilihan menunya pun banyak dan dengan tempat seperti ini harganya bisa dibilang masih masuk akal, harga minumannya 15-20rban dan makanannya juga dirange 20-38rb. Nice 👌🏼

Oh iya selain itu mereka juga open buat kalian yang pengen ngadain event special di @narawita.yk kayak engagement ataupun wedding sekalipun. Detailnya bisa hubungi langsung di ig @narawita.yk ya!

Narawita Sanctuary Space
10:30 ——— 22:00
Jl. Anggrek, Blotan, Wedomartani, Ngemplak, Sleman, Yogyakarta",Narawita Sanctuary Space,"Jl. Anggrek, Blotan, Wedomartani, Ngemplak, Sleman, Yogyakarta",10:30 - 22:00,Sleman,@narawita.yk,10:30,22:00,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Nggak kerasa besok udah weekend lagi aja ya. Nah buat kalian yang besok pengen keluar tapi masih bingung mau kemana mungkin tempat cakep satu ini bisa jadi referensi.

Lokasinya emang cukup jauh dari kota tepatnya di daerah Nanggulan, Kulon Progo tapi pas udah sampai perjalanan jauh sebading kok sama apa yang bakal kalian dapetin.

Nama tempatnya @lamerie.valley, ini tu cafe / coffee & eatery yang punya kolam renang dengan view hamparan sawah luas dan peebukitan menoreh yang cakep banget. Kolam renangnya bisa kalian pakai dan free tapi dengan catatan harus pakai baju renang ya!

Buat menunya ada cukup banyak pilihan dengan harga yang terjangkau, biasanya cafe kaya gini agak pricey tapi disini enggak, harganya ya harga standar cafe pada umumnya aja start from 12K👌🏼

Oh iya selain itu ada juga VIP bed & sofa yang bisa kalian gunain buat bersantai hanya dengan minimal pembelian 200k.

Dah langsung share aja ke temen atau orang terdekatmu ya! 

LaMerie Valley @lamerie.valley 
09:00 ——— 21:00
Nanggulan, Kulon Progo, Yogyakarta",LaMerie Valley,"Nanggulan, Kulon Progo, Yogyakarta",09:00 - 21:00,Kulon Progo,@lamerie.valley,09:00,21:00,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Nemuin kedai kopi humble 1 menit dari Malioboro

Kemarin pas lagi muter-muter di tengah kota atau tepatnya di area Malioboro dibikin penasaran sama satu petak lahan yang cukup luas dengan pohon-pohon rindang di tengah sesaknya Malioboro.

Nah yang bikin makin penasaran pas lewat kami sempet liat sekilas di dalamnya ada bentukan kedai kopi sederhana tepat di bawah pohon ringin. Pas puter balik dan liat signnya ternyata emang kedai kopi, nama tempatnya @kopiringin.id Real hidden gem sih ini 🍃

Pas masuk beneran ngga nyangka ternyata masih ada lahan terbuka luas dengan pohon-pohon rindang di area Malioboro dan ternyata pas tempat ini difungsukan sebagai area parkir. Well nampaknya pemilik memanfaatkan betul vibes ini dengan dijadikannya kedai kopi sederhana yang beneran ngasih suasana beda.

Btw ternyata mereka belum lama buka dan lagi ada promo beli 3 gratis 1 kopi susu gula aren, buy 1 kopi susu large get 1 free donut dan ada paket pelajar/mahasiswa crazy fries + lemon tea/lychee tea ya 👌🏼

Kopi Ringin @kopiringin.id
17:00 ——— 23:00
Area Parkir Malioboro Gandekan, Yogyakarta",Kopi Ringin,"Area Parkir Malioboro Gandekan, Yogyakarta",17:00 - 23:00,Yogyakarta,@kopiringin.id,17:00,23:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
