caption,caption_norm,nama_tempat,jam_operasional,alamat,kota,akun_instagram,open_time,close_time,is_24h,is_overnight,menu_category,function_category
"Menikmati Hijaunya Jakal Atas di Bagi Kopi Kaliurang

Setelah gerainya yang pertama di Pandean kini Bagi Kopi membuka gerai keduanya di Jogja yang berlokasi di Jakal Atas, gerai keduanya di Jogja ini juga menjadi gerai ke 19 Bagi Kopi di Indonesia. Mengusung konsep yang berbeda dari sebelumnya, Bagi Kopi Kaliurang tampil lebih minimalis juga futuristik.

Kesan futuristik begitu kerasa di area bar dengan mesin espresso Asterion buatan Indonesia yang gahar, selain itu terdapat beberapa artwork dengan warna biru khas Bagi Kopi. Areanya terbagi menjadi beberapa dengan area bar yang luas dan terdapat beberapa pilihan tempat duduk, sebelah kiri dari pintu masuk cocok buat nugas dengan pemandangan hijau yang sejuk.

Masuk ke belakang terdapat area semi private yang sepertinya cocok buat meeting, terakhir ada area semi outdoor belakang dan full outdoor dengan pemandangan hijaunya yang nenangin, kami suka desain tempat duduk dan mejanya yang minimalis dan match dengan suasana yang ada.

Ada banyak menu yang bisa kamu pesan mulai dari coffee, non coffee, mocktail, pastry, snack hingga main course. Cek beberapa menunya di slide terakhir yaa! Oh iya mereka juga buka jam 7 pagi ya jadi cocok buat kamu yang morning person, buat yang suka begadang juga cocok sih karena mereka tutup jam 3 pagi!

Bagi Kopi Kaliurang @bagikopiid @bagikopi.kaliurang
07:00 ——— 03:00
Jl. Kaliurang KM 12,5, Candi Karang, Sardonoharjo, Ngaglik, Sleman, YK","menikmati hijaunya jakal atas di bagi kopi kaliurang
setelah gerainya yang pertama di pandean kini bagi kopi membuka gerai keduanya di jogja yang berlokasi di jakal atas, gerai keduanya di jogja ini juga menjadi gerai ke 19 bagi kopi di indonesia. mengusung konsep yang berbeda dari sebelumnya, bagi kopi kaliurang tampil lebih minimalis juga futuristik.
kesan futuristik begitu kerasa di area bar dengan mesin espresso asterion buatan indonesia yang gahar, selain itu terdapat beberapa artwork dengan warna biru khas bagi kopi. areanya terbagi menjadi beberapa dengan area bar yang luas dan terdapat beberapa pilihan tempat duduk, sebelah kiri dari pintu masuk cocok buat nugas dengan pemandangan hijau yang sejuk.
masuk ke belakang terdapat area semi private yang sepertinya cocok buat meeting, terakhir ada area semi outdoor belakang dan full outdoor dengan pemandangan hijaunya yang nenangin, kami suka desain tempat duduk dan mejanya yang minimalis dan match dengan suasana yang ada.
ada banyak menu yang bisa kamu pesan mulai dari coffee, non coffee, mocktail, pastry, snack hingga main course. cek beberapa menunya di slide terakhir yaa oh iya mereka juga buka jam 7 pagi ya jadi cocok buat kamu yang morning person, buat yang suka begadang juga cocok sih karena mereka tutup jam 3 pagi 
bagi kopi kaliurang @bagikopiid @bagikopi.kaliurang
07 00 - 03 00
jl. kaliurang km 12,5, candi karang, sardonoharjo, ngaglik, sleman, yk",Bagi Kopi Kaliurang,07:00 - 03:00,"Jl. Kaliurang KM 12,5, Candi Karang, Sardonoharjo, Ngaglik, Sleman, YK",Sleman,"@bagikopi.kaliurang, @bagikopiid",07:00,03:00,False,True,"['kopi', 'dessert']",['wfc']
"Betah produktif di Eplus Coffee

Sebenernya sudah kali ketiga kami berkunjung ke Eplus, selain karena tempatnya juga karena menu-menunya yang banyak. Luas dan lega yang terbagi menjadi beberapa area yaitu indoor, semi outdoor dan office yg ready for rent! Eplus memiliki beberapa pilihan tempat duduk ergonomis buat nugas, sofa yang nyaman juga bean bag buat nyantai bareng temen ataupun keluarga kamu. 

Beberapa kali kami berkunjung yang kami jumpai memang sebagian besar asik dengan gawainya, adapula yg nonton di area bean bag bersama teman-temannya dan yang sekedar nongkrong. Sebagian yang datang bahkan beberapa kali order menu lagi karena betah berlama-lama di tempat ini. Kami juga nyobain beberapa menu makanan minuman dan snack buat teman produktif.

Mendukung tempatnya yang memang sangat cocok buat produktif Eplus juga memberikan fasilitas ngeprint gratis buat temen temen jadi nggak perlu lagi tuh ngeprint diluar pas lagi on duty di eplus! Tempatnya bersebelahan dengan area bar, bisa juga kalau mau ngeprint skripsi, eitss tapi jangan lupa bawa kertas sendiri ya! 😅

Kalau lagi penat pas ngerjain sesuatu bisa jeda sebentar buat keluar menikmati view di area outdoor yang hijau-hijau dan menikmati gemericik suara sungai. Oiya menunya juga beragam seperti yang kami pesan di foto yaa!👌🏼

Eplus Coffee & Coworking @eplusdotco
09:00 ——— 24:00
Jl. Candi Gebang, Jetis, Wedomartani, Ngemplak, Sleman, Yk

*Cek menunya di link @eplusdotco yaa","betah produktif di eplus coffee
sebenernya sudah kali ketiga kami berkunjung ke eplus, selain karena tempatnya juga karena menu-menunya yang banyak. luas dan lega yang terbagi menjadi beberapa area yaitu indoor, semi outdoor dan office yg ready for rent eplus memiliki beberapa pilihan tempat duduk ergonomis buat nugas, sofa yang nyaman juga bean bag buat nyantai bareng temen ataupun keluarga kamu. 
beberapa kali kami berkunjung yang kami jumpai memang sebagian besar asik dengan gawainya, adapula yg nonton di area bean bag bersama teman-temannya dan yang sekedar nongkrong. sebagian yang datang bahkan beberapa kali order menu lagi karena betah berlama-lama di tempat ini. kami juga nyobain beberapa menu makanan minuman dan snack buat teman produktif.
mendukung tempatnya yang memang sangat cocok buat produktif eplus juga memberikan fasilitas ngeprint gratis buat temen temen jadi nggak perlu lagi tuh ngeprint diluar pas lagi on duty di eplus tempatnya bersebelahan dengan area bar, bisa juga kalau mau ngeprint skripsi, eitss tapi jangan lupa bawa kertas sendiri ya 
kalau lagi penat pas ngerjain sesuatu bisa jeda sebentar buat keluar menikmati view di area outdoor yang hijau-hijau dan menikmati gemericik suara sungai. oiya menunya juga beragam seperti yang kami pesan di foto yaa 
eplus coffee coworking @eplusdotco
09 00 - 24 00
jl. candi gebang, jetis, wedomartani, ngemplak, sleman, yk
 cek menunya di link @eplusdotco yaa",Eplus Coffee & Coworking,09:00 - 24:00,"Jl. Candi Gebang, Jetis, Wedomartani, Ngemplak, Sleman, Yk",Sleman,@eplusdotco,09:00,23:59,False,False,['makanan'],"['wfc', 'hangout']"
"Kopi Kepi, coffee shop dengan suasana oldschoolnya yang bikin lupa waktu

Perjalanan jauh dari Jogja ditutup dengan kunjungan kami di Kopi Kepi, dari depan tampak teduh dengan bangunan menarik yg dominan kaca berbentuk segitiga. Kami masuk dibuat tertarik dengan area bar yang luas hampir mengelilingi ruangan, penataan apik ditambah lagi langit langit yang menjulang tinggi menjadi kesan mewah di area bar, sedang di sebelah kiri bar terdapat nuansa rumah tua yang di lengkapi remang lampu juga ceiling fan seakan membawa kenangan tempo dulu.

Kami cukup penasaran dengan beberapa pilihan pastry yang juga disajikan di area bar, rupanya selain kopi, pastry disini menjadi perpaduan pas buat nemenin kerja atau bersantai karena ada area outdoor vintage yang cukup luas khas dengan ornamennya dibelakang area indoor. Beberapa pilihan tempat duduk mulai dari area bean bag luas dan meja kursi klasik menambah kesan hangat suasana di sore menjelang malam di kopi kepi. 

Oh iya kalian harus coba Churros sama Mille Crepesnya yaa, churrosnya empuk bahkan sampai kita bawa pulang dan masukin kulkas pun masih empuk, rasanya masih kebayang sampe sekarang 👌🏼

*Cek menu lengkapnya di bio @kopikepi.id yaa!

Kopi Kepi @kopikepi.id
08:00 ——— 23:00
Jalan Dr Supomo No. 57 Mangkubumen, Banjarsari Surakarta","kopi kepi, coffee shop dengan suasana oldschoolnya yang bikin lupa waktu
perjalanan jauh dari jogja ditutup dengan kunjungan kami di kopi kepi, dari depan tampak teduh dengan bangunan menarik yg dominan kaca berbentuk segitiga. kami masuk dibuat tertarik dengan area bar yang luas hampir mengelilingi ruangan, penataan apik ditambah lagi langit langit yang menjulang tinggi menjadi kesan mewah di area bar, sedang di sebelah kiri bar terdapat nuansa rumah tua yang di lengkapi remang lampu juga ceiling fan seakan membawa kenangan tempo dulu.
kami cukup penasaran dengan beberapa pilihan pastry yang juga disajikan di area bar, rupanya selain kopi, pastry disini menjadi perpaduan pas buat nemenin kerja atau bersantai karena ada area outdoor vintage yang cukup luas khas dengan ornamennya dibelakang area indoor. beberapa pilihan tempat duduk mulai dari area bean bag luas dan meja kursi klasik menambah kesan hangat suasana di sore menjelang malam di kopi kepi. 
oh iya kalian harus coba churros sama mille crepesnya yaa, churrosnya empuk bahkan sampai kita bawa pulang dan masukin kulkas pun masih empuk, rasanya masih kebayang sampe sekarang 
 cek menu lengkapnya di bio @kopikepi.id yaa 
kopi kepi @kopikepi.id
08 00 - 23 00
jalan dr supomo no. 57 mangkubumen, banjarsari surakarta",Kopi Kepi,08:00 - 23:00,"Jalan Dr Supomo No. 57 Mangkubumen, Banjarsari Surakarta",Lainnya,@kopikepi.id,08:00,23:00,False,False,"['kopi', 'dessert']","['wfc', 'hangout']"
"Jog.Ya! Salah satu coffee shop di Njeron Benteng yang cozy

Nggak pernah bosen kalau pas lewat di sekitaran Njeron Benteng atau di kawasan yg dekat dengan Alun-Alun Selatan ini, bahkan kadang kami menyempatkan lewat di pemukiman warga yang setiap rumahnya memiliki karakternya masing-masing yang hangat.

Sore itu di salah satu ujung jalan kami singgah di kafe atau coffee shop yang memiliki suasana layaknya di rumah meskipun dengan bangunan yang baru, kesan homey sangat terasa karena penataannya yang sedemikian rupa sehingga menyerupai set-up ruang tamu rumah, terdapat beberapa sofa empuk dan ornamen-ornamen penambah kesan homey.

Buat menunya ada banyak yang bisa kamu pilih mulai dari basic coffee, minuman dengan rempah, main course yang menggabungkan lokal tradisional dan modern hinggal snack khas Meksiko yaitu chicken quesadilla. Satu tempat yang banyak menyuguhkan keasyikan.

Jog.Ya! @jogyabykepomo
10:00 ——— 23:00
Jl. Siliran Lor, Kraton, Yogyakarta","jog.ya salah satu coffee shop di njeron benteng yang cozy
nggak pernah bosen kalau pas lewat di sekitaran njeron benteng atau di kawasan yg dekat dengan alun-alun selatan ini, bahkan kadang kami menyempatkan lewat di pemukiman warga yang setiap rumahnya memiliki karakternya masing-masing yang hangat.
sore itu di salah satu ujung jalan kami singgah di kafe atau coffee shop yang memiliki suasana layaknya di rumah meskipun dengan bangunan yang baru, kesan homey sangat terasa karena penataannya yang sedemikian rupa sehingga menyerupai set-up ruang tamu rumah, terdapat beberapa sofa empuk dan ornamen-ornamen penambah kesan homey.
buat menunya ada banyak yang bisa kamu pilih mulai dari basic coffee, minuman dengan rempah, main course yang menggabungkan lokal tradisional dan modern hinggal snack khas meksiko yaitu chicken quesadilla. satu tempat yang banyak menyuguhkan keasyikan.
jog.ya @jogyabykepomo
10 00 - 23 00
jl. siliran lor, kraton, yogyakarta",Jog.Ya,10:00 - 23:00,"Jl. Siliran Lor, Kraton, Yogyakarta",Yogyakarta,@jogyabykepomo,10:00,23:00,False,False,[],[]
"Satu sore yang nyaman di @hitammanis.yk

Baru lagi nih coffee shop estetik dengan view dan suasana sawah yang bikin betah. Lokasinya ada di Condongcatur tepatnya di Pondok nggak jauh dari Manukan.

Berkonsep minimalis white dengan aksen bohemian coffee shop ini menghadirkan suasana yang cukup berbeda dari tempat yang sudah ada di Jogja. Apalagi view samping kanan kiri dan belakang yang masih full sawah bikin tempat ini makin cakep. Kami suka duduk di area samping agak belakang sambil memandangi persawahan dan segala aktivitas yang ada. Cakep hampir dari segala sisi 👌🏼

Buat menunya ada cukup banyak dengan platting yg cantik dan porsi yang nggak pelit, ada satu menu unik yang kami coba yaitu Pisang Goreng Sambel Kacang, biasanya pisang goreng cocolannya yg manis-manis ini pake sambel kacang, unik banget rasanya kalian harus coba 🙌🏻

Hitam Manis Kedai Kopi @hitammanis.yk
08:00 —— 23:00 | 08:00 —— 24:00
Jl. Gerilya, Pondok, Condongcatur, Sleman","satu sore yang nyaman di @hitammanis.yk
baru lagi nih coffee shop estetik dengan view dan suasana sawah yang bikin betah. lokasinya ada di condongcatur tepatnya di pondok nggak jauh dari manukan.
berkonsep minimalis white dengan aksen bohemian coffee shop ini menghadirkan suasana yang cukup berbeda dari tempat yang sudah ada di jogja. apalagi view samping kanan kiri dan belakang yang masih full sawah bikin tempat ini makin cakep. kami suka duduk di area samping agak belakang sambil memandangi persawahan dan segala aktivitas yang ada. cakep hampir dari segala sisi 
buat menunya ada cukup banyak dengan platting yg cantik dan porsi yang nggak pelit, ada satu menu unik yang kami coba yaitu pisang goreng sambel kacang, biasanya pisang goreng cocolannya yg manis-manis ini pake sambel kacang, unik banget rasanya kalian harus coba 
hitam manis kedai kopi @hitammanis.yk
08 00 - 23 00 08 00 - 24 00
jl. gerilya, pondok, condongcatur, sleman",Hitam Manis Kedai Kopi,08:00 - 23:00,"Jl. Gerilya, Pondok, Condongcatur, Sleman",Sleman,@hitammanis.yk,08:00,23:00,False,False,"['kopi', 'dessert']",[]
"Belum lama ini kami ke Solo dan dateng ke beberapa coffee shop yang kebetulan dekat dengan lokasi yang kami tuju. Dari beberapa yang kami kunjungi kali ini kami akan sedikit memberikan ulasan tentang Layana Coffee, coffee shop yang lokasinya berada di lantai dasar sebuah hotel di Solo.

Layana coffee punya konsep yang cukup minimalis yang senada dengan tempatnya yang tidak terlalu luas namun tetap memaksimalkan ruangan yang ada, ada area duduk tribun di salah satu sudut yang bisa kamu pilih buat duduk-duduk santai bareng temen, selain itu juga ada smooking room AC yang nyaman dengan tembok glassblock yang menambah estetika.

Buat menunya ada 2 menu kopi yang kami coba yaitu Layana White Coffee dan Salted Caramel Latte yang semuanya super soft dengan kemasan botol 250ml yang ready to drink. Aman banget buat kamu yang kurang suka kopi pekat.

Layana Artisan Coffee
07:00 ——— 22:00
Jl. Teratai II No. 11, Mangkubumen, Banjarsari, kota Surakarta, Jawa Tengah","belum lama ini kami ke solo dan dateng ke beberapa coffee shop yang kebetulan dekat dengan lokasi yang kami tuju. dari beberapa yang kami kunjungi kali ini kami akan sedikit memberikan ulasan tentang layana coffee, coffee shop yang lokasinya berada di lantai dasar sebuah hotel di solo.
layana coffee punya konsep yang cukup minimalis yang senada dengan tempatnya yang tidak terlalu luas namun tetap memaksimalkan ruangan yang ada, ada area duduk tribun di salah satu sudut yang bisa kamu pilih buat duduk-duduk santai bareng temen, selain itu juga ada smooking room ac yang nyaman dengan tembok glassblock yang menambah estetika.
buat menunya ada 2 menu kopi yang kami coba yaitu layana white coffee dan salted caramel latte yang semuanya super soft dengan kemasan botol 250ml yang ready to drink. aman banget buat kamu yang kurang suka kopi pekat.
layana artisan coffee
07 00 - 22 00
jl. teratai ii no. 11, mangkubumen, banjarsari, kota surakarta, jawa tengah",Layana Artisan Coffee,07:00 - 22:00,"Jl. Teratai II No. 11, Mangkubumen, Banjarsari, kota Surakarta, Jawa Tengah",Lainnya,,07:00,22:00,False,False,['kopi'],['dating']
"Pertama kali nyobain board game di Morse Board Game & Cafe

Buat yang pengen nyobain pengalaman baru yang seru atau pengen ngopi yang nggak gitu-gitu aja mungkin Morse Board Game & Cafe ini cocok buat kamu

Dari fasade depan tempat ini udah ngingetin akan masa-masa kecil pas kita main video game dengan warnanya yang nyentrik, masuk ke dalem konsep gamenya makin berasa, ada mural pac man di bagian meja bar dan board game itu sendiri yang ada di ruangan utama ini. Ada sekitar 100 board game yang bisa kalian mainin bareng temen-temen buat unlock pengalaman baru yang asik. Tenang aja buat yang baru pertama kali main bakal ada game master buat dampingin dan jelasin cara mainnya.

Buat board gamenya kamu bisa main seharian dengan 25K aja dan ada diskon buat kamu yang bawa kartu pelajar. 

Kamu yang pengen nongkrong aja bareng temen juga bisa karena ada area semi outdoor dan full outdoor di bagian belakang yang cukup luas dan juga ada beberapa free games yang bisa kalian coba. Untuk menunya ada banyak ya, cek detailnya di slide terakhir 🙌🏻

Morse Board Game & Cafe @morseboardgame
10:00 ——— 23:00
Jl. Umbul Permai, Ngaglik, Sleman","pertama kali nyobain board game di morse board game cafe
buat yang pengen nyobain pengalaman baru yang seru atau pengen ngopi yang nggak gitu-gitu aja mungkin morse board game cafe ini cocok buat kamu
dari fasade depan tempat ini udah ngingetin akan masa-masa kecil pas kita main video game dengan warnanya yang nyentrik, masuk ke dalem konsep gamenya makin berasa, ada mural pac man di bagian meja bar dan board game itu sendiri yang ada di ruangan utama ini. ada sekitar 100 board game yang bisa kalian mainin bareng temen-temen buat unlock pengalaman baru yang asik. tenang aja buat yang baru pertama kali main bakal ada game master buat dampingin dan jelasin cara mainnya.
buat board gamenya kamu bisa main seharian dengan 25k aja dan ada diskon buat kamu yang bawa kartu pelajar. 
kamu yang pengen nongkrong aja bareng temen juga bisa karena ada area semi outdoor dan full outdoor di bagian belakang yang cukup luas dan juga ada beberapa free games yang bisa kalian coba. untuk menunya ada banyak ya, cek detailnya di slide terakhir 
morse board game cafe @morseboardgame
10 00 - 23 00
jl. umbul permai, ngaglik, sleman",Morse Board Game & Cafe,10:00 - 23:00,"Jl. Umbul Permai, Ngaglik, Sleman",Sleman,@morseboardgame,10:00,23:00,False,False,[],['hangout']
"Satu lagi yang baru di Pogung!

Kemarin belum lama kami kembali menyusuri jalanan Pogung dan singgah di Obie Cafe and Space, kafe atau coffee shop baru yang menarik dan cukup bikin kaget karena tau-tau udah jadi secakep ini.

Tempatnya luas dengan banyak pilihan tempat duduk dan beberapa sofa yang nyaman. Letaknya agak masuk dari jalan yang ngasih suasana tenang nggak berisik, cocok buat nugas atau ngumpul bareng temen.

Hal yang paling kami suka di Obie Cafe ini ada RAMEN! Jarang-jarang kan ya ngopi sambil makan ramen, selain itu kami suka banget sama Black Mamba, salah satu minuman mocktail yang menurut kami enak, seger dan beda dari yang sudah ada, minuman ini jadi yang pertama habis dari 3 yang kami coba. Selain itu ada juga salted egg chicken wings yang unik, salted eggnya pas ngga bikin eneg. Buat yang pengen ngemil ringan ada seafood satay, cocok juga dimakan bareng ramennya 👌🏼

Yuk agendain!

Obie Cafe & Space @obie.cafe
10:00 ——— 24:00
Pogung Kidul, Sinduadi, Sleman","satu lagi yang baru di pogung 
kemarin belum lama kami kembali menyusuri jalanan pogung dan singgah di obie cafe and space, kafe atau coffee shop baru yang menarik dan cukup bikin kaget karena tau-tau udah jadi secakep ini.
tempatnya luas dengan banyak pilihan tempat duduk dan beberapa sofa yang nyaman. letaknya agak masuk dari jalan yang ngasih suasana tenang nggak berisik, cocok buat nugas atau ngumpul bareng temen.
hal yang paling kami suka di obie cafe ini ada ramen jarang-jarang kan ya ngopi sambil makan ramen, selain itu kami suka banget sama black mamba, salah satu minuman mocktail yang menurut kami enak, seger dan beda dari yang sudah ada, minuman ini jadi yang pertama habis dari 3 yang kami coba. selain itu ada juga salted egg chicken wings yang unik, salted eggnya pas ngga bikin eneg. buat yang pengen ngemil ringan ada seafood satay, cocok juga dimakan bareng ramennya 
yuk agendain 
obie cafe space @obie.cafe
10 00 - 24 00
pogung kidul, sinduadi, sleman",Obie Cafe & Space,10:00 - 24:00,"Pogung Kidul, Sinduadi, Sleman",Sleman,@obie.cafe,10:00,23:59,False,False,"['makanan', 'dessert']",['wfc']
"The all new Gemati Cafe and Space

Kawasan Tiyasan atau Tiyosan ini emang kawasan dengan banyak kafe yang berjejer di sepanjang jalan, kamu bisa milih sesuai dengan apa yang kamu suka, nah belum lama ini kami diundang buat dateng ke salah satu cafe atau coffee shop yang baru akan grand opening di tanggal 22 Desember besok.

Yap, Gemati Cafe and Space adalah tempat yang kami datengin, buat yang nanya “ini yang dulu namanya Gumati ya kak?” jawabannya betul banget, mereka membawa tempat dan konsep baru yang lokasinya persis di sebrang tempat yang lama. 

Luas, nyaman dan lengkap. Pertama yang terbesit tentu saja luas karena dari luar aja udah keliatan, nyaman karena ada beberapa area yang bisa kamu pilih dan sesuaikan dengan kebutuhanmu, lengkap karena ada area outdoor dengan view sawah yang nenangin banget, gak tau kenapa view alam dipaduin dengan bangunan minimalis gini emang cakep banget ya jadinya 👌🏼

Buat menunya ada banyak banget dan kebetulan kemarin nyobain beberapa menu rekomendasi yang semuanya bener2 good! Nggak ada yg failed sama sekali. Cocok banget buat kamu yang pengen nugas nongkrong ngopi sekalian makan 🙌🏻

Jangan lupa dateng di Grand Openingnya tanggal 22 besok ya! Bakal ada yang seru-seru pastinya! See youu!

Gemati Cafe and Space @gematicoffee_yk
09:00 ——— 24:00
Jalan Sidomukti, Tiyasan, Condong Catur Yogyakarta","the all new gemati cafe and space
kawasan tiyasan atau tiyosan ini emang kawasan dengan banyak kafe yang berjejer di sepanjang jalan, kamu bisa milih sesuai dengan apa yang kamu suka, nah belum lama ini kami diundang buat dateng ke salah satu cafe atau coffee shop yang baru akan grand opening di tanggal 22 desember besok.
yap, gemati cafe and space adalah tempat yang kami datengin, buat yang nanya ini yang dulu namanya gumati ya kak jawabannya betul banget, mereka membawa tempat dan konsep baru yang lokasinya persis di sebrang tempat yang lama. 
luas, nyaman dan lengkap. pertama yang terbesit tentu saja luas karena dari luar aja udah keliatan, nyaman karena ada beberapa area yang bisa kamu pilih dan sesuaikan dengan kebutuhanmu, lengkap karena ada area outdoor dengan view sawah yang nenangin banget, gak tau kenapa view alam dipaduin dengan bangunan minimalis gini emang cakep banget ya jadinya 
buat menunya ada banyak banget dan kebetulan kemarin nyobain beberapa menu rekomendasi yang semuanya bener2 good nggak ada yg failed sama sekali. cocok banget buat kamu yang pengen nugas nongkrong ngopi sekalian makan 
jangan lupa dateng di grand openingnya tanggal 22 besok ya bakal ada yang seru-seru pastinya see youu 
gemati cafe and space @gematicoffee yk
09 00 - 24 00
jalan sidomukti, tiyasan, condong catur yogyakarta",Gemati Cafe and Space,09:00 - 24:00,"Jalan Sidomukti, Tiyasan, Condong Catur Yogyakarta",Yogyakarta,@gematicoffee_yk,09:00,23:59,False,False,"['makanan', 'dessert']","['wfc', 'hangout', 'dating']"
"Balik lagi ke Selonjor dengan suasananya yang otentik

Setelah dari Solo dan kagum dengan beberapa tempat yang punya karakternya sendiri dengan tetap mengakar pada identitas kotanya, kemarin kami sempet kepikiran buat dateng ke coffee shop yang “Jogja” banget.

Selonjor Coffee jadi pilihan pertama, lokasinya berada tepat di Jalan Mangkubumi atau Margo Utomo dengan suasana Jogja yang cukup berkarakter. Menempati rumah atau kawasan pertokoan lama bikin berasa balik ke masa lalu. Sangat sempurna menghabiskan sore yang cerah di Selonjor dengan segala aktivitasnya yang ada.

Sejak dari kami datang pertama dulu ada sedikit perubahan, kini ada aksen minimalis yang diberikan namun tetap dengan karakternya yang otentik.
Well buat yang pengen bukan sekedar ngopi tapi lebih menyelami suasana yang ada kamu bisa cobain tempat ini ya! Mereka juga ada beberapa promo menarik: 
• HAPPY HOUR! 10:00-12:00 FOR ALL DRINKS, Buy2 Get1 FREE!
• Bring your tumbler get discount 20%
• Purchase 100rb++ Get FREE 1 Glass Cascara!

Selonjor Coffee @selonjor.coffee
10:00 ——— 24:00
Jl. P. Mangkubumi, Yogyakarta","balik lagi ke selonjor dengan suasananya yang otentik
setelah dari solo dan kagum dengan beberapa tempat yang punya karakternya sendiri dengan tetap mengakar pada identitas kotanya, kemarin kami sempet kepikiran buat dateng ke coffee shop yang jogja banget.
selonjor coffee jadi pilihan pertama, lokasinya berada tepat di jalan mangkubumi atau margo utomo dengan suasana jogja yang cukup berkarakter. menempati rumah atau kawasan pertokoan lama bikin berasa balik ke masa lalu. sangat sempurna menghabiskan sore yang cerah di selonjor dengan segala aktivitasnya yang ada.
sejak dari kami datang pertama dulu ada sedikit perubahan, kini ada aksen minimalis yang diberikan namun tetap dengan karakternya yang otentik.
well buat yang pengen bukan sekedar ngopi tapi lebih menyelami suasana yang ada kamu bisa cobain tempat ini ya mereka juga ada beberapa promo menarik 
 happy hour 10 00-12 00 for all drinks, buy2 get1 free 
 bring your tumbler get discount 20 
 purchase 100rb get free 1 glass cascara 
selonjor coffee @selonjor.coffee
10 00 - 24 00
jl. p. mangkubumi, yogyakarta",Selonjor Coffee,10:00 - 24:00,"Jl. P. Mangkubumi, Yogyakarta",Yogyakarta,@selonjor.coffee,10:00,23:59,False,False,[],['dating']
"Den Singo Koffie, susah buat nggak jatuh cinta!

Beberapa hari yang lalu kebetulan dari pagi cuaca mendung dengan sesekali hujan jatuh yang membuat hari itu menjadi hari yang sangat enak buat menikmati kopi.

Sempat bingung kemana akhirnya kami memutuskan untuk mengarahkan navigasi google maps menuju Jalan Sulawesi daerah Jakal dan berhenti di Den Singo Koffie, coffee shop dengan tempatnya yang tenang luar biasa ditengah hiruk pikuk Jakal dan segala keramaiannya. Cocok sekali untuk menikmati suasana hari itu pikir kami.

Pertama kali kami datang kami langsung menobatkan kalau Den Singo Koffie ini menjadi salah satu coffee shop joglo terfavorit di Jogja, selain karena suasananya yang tenang dan penataannya yang rapi juga karena kebersihannya yang sangat terjaga. Favorit kami duduk di bagian belakang joglo supaya bisa menikmati area rumput hijau persis di belakang joglo dengan penataannya yang cantik. Bisa dibilang @densingo_koffie ini hidden gemnya Jakal sih.

Oh iya kamu harus lepas alas kaki ya buat masuk di joglonya, ini unik sih kayak kebiasaan di rumah.
Buat menunya ada banyak! Nggak cuma kopi aja mereka juga ada jus dan smoothies, kemarin nyobain ayam sambal matahnya juga oke banget sih👌🏼 

Sangat reccomended buat kamu yang pengen nyari suasana tenang 🙌🏻

Den Singo Koffie @densingo_koffie
11:00 ——— 22:00
Jl. Sulawesi Raya No. 18, Purwosari, Sinduadi, Sleman","den singo koffie, susah buat nggak jatuh cinta 
beberapa hari yang lalu kebetulan dari pagi cuaca mendung dengan sesekali hujan jatuh yang membuat hari itu menjadi hari yang sangat enak buat menikmati kopi.
sempat bingung kemana akhirnya kami memutuskan untuk mengarahkan navigasi google maps menuju jalan sulawesi daerah jakal dan berhenti di den singo koffie, coffee shop dengan tempatnya yang tenang luar biasa ditengah hiruk pikuk jakal dan segala keramaiannya. cocok sekali untuk menikmati suasana hari itu pikir kami.
pertama kali kami datang kami langsung menobatkan kalau den singo koffie ini menjadi salah satu coffee shop joglo terfavorit di jogja, selain karena suasananya yang tenang dan penataannya yang rapi juga karena kebersihannya yang sangat terjaga. favorit kami duduk di bagian belakang joglo supaya bisa menikmati area rumput hijau persis di belakang joglo dengan penataannya yang cantik. bisa dibilang @densingo koffie ini hidden gemnya jakal sih.
oh iya kamu harus lepas alas kaki ya buat masuk di joglonya, ini unik sih kayak kebiasaan di rumah.
buat menunya ada banyak nggak cuma kopi aja mereka juga ada jus dan smoothies, kemarin nyobain ayam sambal matahnya juga oke banget sih 
sangat reccomended buat kamu yang pengen nyari suasana tenang 
den singo koffie @densingo koffie
11 00 - 22 00
jl. sulawesi raya no. 18, purwosari, sinduadi, sleman",Den Singo Koffie,11:00 - 22:00,"Jl. Sulawesi Raya No. 18, Purwosari, Sinduadi, Sleman",Sleman,@densingo_koffie,11:00,22:00,False,False,"['kopi', 'makanan']",[]
